# Review candidates only. `fallback 사용` means the current UI falls back to the first two characters.
# game_name	bgg_id	current_abbr	source	reason
프리세이지	428787	프리	fallback 사용	fallback 사용
피렌체의제후 (영)	555	피렌	fallback 사용	fallback 사용
핀카	40628	핀카	fallback 사용	fallback 사용
필름을감아(일)	215471	필름	fallback 사용	fallback 사용
하다라	269144	하다	fallback 사용	fallback 사용
하드리아누스방벽	304783	하드	fallback 사용	fallback 사용
하모니즈	414317	하모	fallback 사용	fallback 사용
하베스트	15390	하베	fallback 사용	fallback 사용
한밤의늑대인간	147949	한밤	fallback 사용	fallback 사용
할라피노	206	할라	fallback 사용	fallback 사용
할러타우	300322	할러	fallback 사용	fallback 사용
항로개척자	434343	항로	fallback 사용	fallback 사용
해기스	37628	해기	fallback 사용	fallback 사용
핵클레드 + 확장	352228	핵클	fallback 사용	fallback 사용
햄버거타이쿤	223094	햄버	fallback 사용	fallback 사용
행복을찾아서	181687	행복	fallback 사용	fallback 사용
허리컵	38504	허리	fallback 사용	fallback 사용
허즐방탈출 Hex-it		허즐	fallback 사용	fallback 사용,no-bgg-id
헤게모니 + 역사적사건들 확장	321608	헤게	fallback 사용	fallback 사용
화이트채플	59959	화이	fallback 사용	fallback 사용
황하와장강	244114	황하	fallback 사용	fallback 사용
황혼의비문	361545	황혼	fallback 사용	fallback 사용
후지	258308	후지	fallback 사용	fallback 사용
휘슬마운틴	301255	휘슬	fallback 사용	fallback 사용
히트	366013	히트	fallback 사용	fallback 사용
